"Requirement.1","Change.1","Heavy.atom.No.1","Reaction.1","Mass.Difference.1","Description.1","Reaction1_No.","Requirement.2","Change.2","Heavy.atom.No.2","Reaction.2","Mass.Difference.2","Description.2","Reaction2_No.","mass change","formula change"
"HO","C5H3N5O-1",10,"(+C5H5N5 - H2O)",117.04393,"addition of Adenine",1,"0","0",0,"0",0,"0",0,117.04393,"C5H3N5O-1"
"H","C10H11N5O3",18,"(+C10H11N5O3)",249.08619,"addition of Adenosine",2,"0","0",0,"0",0,"0",0,249.08619,"C10H11N5O3"
"H","C10H11N5O4",19,"(+C10H11N5O4)",265.081105,"addition of Guanosine",3,"0","0",0,"0",0,"0",0,265.081105,"C10H11N5O4"
"H","C10H12N2O4",16,"(+C10H12N2O4)",224.079708,"addition of Thymidine",4,"0","0",0,"0",0,"0",0,224.079708,"C10H12N2O4"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"0","0",0,"0",0,"0",0,289.073244,"C10H15N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"0","0",0,"0",0,"0",0,305.068159,"C10H15N3O6S1"
"H","C10H7NO",12,"(+C10H7NO)",157.052764,"indole acetylation",7,"0","0",0,"0",0,"0",0,157.052764,"C10H7N1O1"
"H","C12H20O10",22,"(+C12H20O10)",324.10565,"addition of di-hexose",8,"0","0",0,"0",0,"0",0,324.10565,"C12H20O10"
"H","C16H30O",17,"(+C16H30O)",238.229665,"addition of Palmitic acid",9,"0","0",0,"0",0,"0",0,238.229665,"C16H30O1"
"H","C18H30O15",33,"(+C18H30O15)",486.158475,"addition of tri-hexose",10,"0","0",0,"0",0,"0",0,486.158475,"C18H30O15"
"H","C2H2O",3,"(+C2H2O)",42.010565,"acetylation",11,"0","0",0,"0",0,"0",0,42.010565,"C2H2O1"
"H","C2H3NO",4,"(+C2H3NO)",57.021464,"glycine conjugation",12,"0","0",0,"0",0,"0",0,57.021464,"C2H3N1O1"
"H","C2H4",2,"(+C2H4)",28.0313,"addition of C2H4",13,"0","0",0,"0",0,"0",0,28.0313,"C2H4"
"H","C2H5NO2S",6,"(+C2H5NO2S)",107.004101,"taurine conjugation",14,"0","0",0,"0",0,"0",0,107.004101,"C2H5N1O2S1"
"H","C3H2O3",6,"(+C3H2O3)",86.000394,"malonylation",15,"0","0",0,"0",0,"0",0,86.000394,"C3H2O3"
"H","C3H4O",4,"(+C3H4O)",56.026215,"propionylation",16,"0","0",0,"0",0,"0",0,56.026215,"C3H4O1"
"H","C3H5NO2S",7,"(+C3H5NO2S)",119.004101,"S-cysteine conjugation",17,"0","0",0,"0",0,"0",0,119.004101,"C3H5N1O2S1"
"H","C3H5NOS",6,"(+C3H5NOS)",103.009186,"cysteine conjugation",18,"0","0",0,"0",0,"0",0,103.009186,"C3H5N1O1S1"
"H","C4H2N2O",7,"(+C4H2N2O)",94.016713,"addition of Uracil",19,"0","0",0,"0",0,"0",0,94.016713,"C4H2N2O1"
"H","C4H3N3",7,"(+C4H3N3)",93.032697,"addition of Cytosine",20,"0","0",0,"0",0,"0",0,93.032697,"C4H3N3"
"H","C4H4O",5,"(+C4H4O)",68.026215,"crotonylation",21,"0","0",0,"0",0,"0",0,68.026215,"C4H4O1"
"H","C4H4O3",7,"(+C4H4O3)",100.016044,"succinylation",22,"0","0",0,"0",0,"0",0,100.016044,"C4H4O3"
